Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Theft,Twittered,7,False
Tetanoid,Thenadays,6,False
Thessalian,Taverning,8,False
Tetragynian,Tetrakishexahedron,11,False
Tartrate,Theine,6,False
Toluylene,Thermochemistry,13,False
Trend,Taverner,5,False
Thermochemic,Tableware,10,False
Transmew,Tracheata,6,False
Transmission,Triding,8,False
Terra,Tas,4,False
Tories,Tamability,8,False
Theoretics,Tigrine,7,False
Tincture,Transumpt,7,False
Trestletree,Tali,9,False
Turn-sick,Transgressive,9,False
Truths,Thowl,5,False
Tom-tom,Tobogganer,8,False
Tea,Turned,4,False
Theses,Tributary,8,False
Tapioca,Teachableness,11,False
Teaspoon,Tidy,7,False
Tinkering,Tobacconist,9,False
Tugan,Trilateral,8,False
Twenty-fourmo,Trull,11,False
Transvasate,Taurocholate,8,False
Tanglingly,Toreutic,9,False
Thirling,Tachygraphical,10,False
Terreous,Tauromachy,8,False
Tribunitian,Tailzie,8,False
Theologist,Top-drain,8,False
Tommy,Tribalism,8,False
Terrel,Tush,5,False
Theine,Teraconic,7,False
Tendency,Transpassable,11,False
Trochaic,traced,6,False
Tangle,Telotrochal,10,False
Tingeing,Tubercle,7,False
Tyfoon,Torgoch,5,False
Tussock,Triflorous,8,False
Terse,Theriotomy,7,False
Teewit,Tuberculous,9,False
Terminated,Tomentum,6,False
Taskwork,Twittering,8,False
Tam-tam,Torpescence,10,False
Target,Trafficker,7,False
Tantivy,Traversing,7,False
Trucked,Talbot,6,False
Thomaean,Tabbinet,7,False
Tomboy,Tincal,5,False
Treeful,Teetotaler,7,False
Tangalung,Typhomania,8,False
Thousandfold,Taleful,8,False
Thistle,Tided,5,False
Trainable,Tredille,5,False
Ternion,Thus,6,False
Trillion,Typical,7,False
Tiara,Tetradon,5,False
Territory,Tettered,6,False
Term,Tricostate,9,False
Thar,Trirhomboidal,10,False
Tunk,Tilth,4,False
Tempera,Thyrohyoid,9,False
Teelseed,Transmit,6,False
Tympano-,Terraced,6,False
Teachable,Tampion,7,False
Thrumming,Tremolite,6,False
Toast,Topman,4,False
Tricae,Therial,4,False
Tritheism,Triquetrous,7,False
Thrack,Tamil,5,False
Tetravalence,Togidres,10,False
Tripersonalist,Trephined,10,False
Tutelar,Tamburin,7,False
Ted,Tenioid,4,False
Terpinol,Typhomalarial,11,False
Tschakmeck,Tellurism,9,False
Trigram,To-day,5,False
Taciturn,Tetrandrian,8,False
Trimethyl,Thysanurous,10,False
Tentful,Tartramate,8,False
Thumper,Thecaphore,6,False
Tonguefish,Trichiuroid,9,False
Tamine,Transnatation,10,False
Top-tool,Tithonometer,10,False
Tractoration,Timeling,10,False
Thecodont,Tapoa tafa,9,False
Toponomy,Transmogrification,16,False
Tant,Trophi,5,False
Trijugous,Tegmina,8,False
Tot,Tritheistical,11,False
Trist,Tetragynous,9,False
Transpicuous,Trionyx,9,False
Traduce,Tarpon,5,False
Tenthmeter,Threadiness,9,False
Typhon,Tumbledung,8,False
Tridiapason,Teutones,9,False
Thine,Throatband,7,False
Trossers,Thaumaturgics,10,False
Tartuffish,Triarchies,8,False
Trifler,Thyrohyal,7,False
Troglodytes,Turtle-shell,9,False
Transmigrator,Turnip-shell,11,False
Tabulated,Tidytips,8,False
Tacit,Towardly,6,False
tooled,Transition,10,False
Tarrying,Theogonic,7,False
Temperateness,Terminalia,10,False
Transitoriness,Top-tackle,11,False
Tusk,Tedded,5,False
Tachhydrite,Turnspit,8,False
Triolet,Toluole,4,False
Twifallowing,Topsoil,9,False
Tripod,Tinct,4,False
Tangent,Ted,5,False
Thulium,Tenemental,9,False
Temperer,Trappist,6,False
Transitoriness,Triddler,10,False
Termly,Tracheata,8,False
Twinner,Tallower,5,False
Tomboy,Theosophist,9,False
Totter,Towboat,5,False
Trousering,Ting,6,False
Transverse,Turgid,9,False
Transvertible,Township,9,False
Trangram,Tongs,5,False
Tersanctus,Trithionic,9,False
Typhoon,Trimesitic,9,False
Triumplant,Taxability,8,False
Truncated,Theatric,7,False
Triune,Thearchic,7,False
Thirlage,Transmit,7,False
Tendosynovitis,Tagsore,11,False
Tidy,Tacit,4,False
Twiggen,Teston,5,False
Terebene,Titty,7,False
Trickiness,Trichroic,6,False
Teutonicism,Tarrier,9,False
Talking,Tonsilotome,9,False
Treeful,Til,5,False
Tidings,Tightened,6,False
Tomnoddy,Tress,7,False
Thermo-,Technical,7,False
Trinity,Tod,6,False
Tubular,Tachyglossa,9,False
Tabefying,Tellureted,9,False
Tarditation,Taboo,8,False
Thawy,Trigrammatic,10,False
Taconic,Tacked,4,False
Tympan,Tricoccous,9,False
Typing,Transe,5,False
Traducingly,Treacher,8,False
Trigamy,Tetracarpel,8,False
Truthless,Tyrannizing,9,False
Thimbleweed,Treadfowl,9,False
Theurgic,Talmudic,5,False
Tow-head,Twigless,6,False
Tegula,Toughen,5,False
Template,Tunicary,6,False
Tipcart,Turgescent,7,False
Tussock,Thigh,6,False
Toonwood,Two-parted,7,False
Trivium,Torril,5,False
Tire,Truttaceous,9,False
Tapering,Tucket,7,False
Tartarize,Text-book,7,False
Thesicle,Textman,6,False
Tace,Traditionally,11,False
Telescopy,Temperable,7,False
Temptatious,Trafficking,10,False
Tetrazo-,Tombing,7,False
Tool-post,Terraced,8,False
Twopenny,Than,6,False
Tetrarchical,Turbo,10,False
Tractable,Thing,8,False
Tallow-face,Transubstantiate,12,False
Troupe,Tice,4,False
Tantalum,Theopathy,7,False
Trone,Tetrachord,7,False
Tyrannicide,Terpin,8,False
Talpa,Timer,4,False
Theorbist,Trustworthy,9,False
Tayra,Tetanic,5,False
Typified,Tisane,6,False
To-fall,Thryes,6,False
Turbite,Thrum,5,False
Trombone,Tricking,5,False
Trim,Tenanted,7,False
Transmogrify,Theatricals,11,False
Trochar,Triformity,7,False
Tegmina,Thunderworm,9,False
Theiform,Testificator,8,False
Towline,Transpositive,9,False
Thumbing,Torrefying,6,False
Tallier,Tertiate,6,False
Tailoress,Tride,6,False
Torpify,Ternate,5,False
Toastmaster,Terminal,9,False
Transparence,Thermoelectrometer,14,False
Tannin,Tinker,4,False
Tidily,Tiller,4,False
Tumbril,Triphylite,8,False
Teufit,Trivialness,9,False
Triatic,Three-ply,7,False
Turbine,Thewed,6,False
Trothless,Tension,8,False
Twenty,Transmission,10,False
Thirteen,Toil,6,False
Trigeminous,Torsibillty,9,False
Thimbleeye,Twelvepenny,9,False
Treasonous,Tepefaction,8,False
Tettix,Thermometry,8,False
Therapeutical,Trappy,9,False
Tatter,Turfed,4,False
Tanistry,Temptatious,9,False
Typhoid,Testate,6,False
Tubicinate,Trimellic,8,False
Tranquilly,Toothpick,8,False
Trigger,Technologist,10,False
Temulency,Twelfth-cake,9,False
Torturable,Tabefy,8,False
Theatine,Trough,7,False
Tenuated,Towardliness,10,False
Territorialized,Tubiporite,9,False
Toppescent,Theobroma,9,False
Thrapple,Tough-cake,8,False
Tabored,Tired,3,False
Territorialized,Textuist,11,False
Tautological,Tabby,10,False
Two-lipped,Torticollis,9,False
Trade,Tinge,3,False
Tease,Touchhole,7,False
Turbulent,Tipulas,6,False
Trisected,Thorn-headed,7,False
Transporting,Tabular,9,False
Testicle,Therewhile,6,False
Tawniness,Tillodontia,9,False
Tinean,Triglyphic,8,False
Tetrol,Temporo-,4,False
Trifolium,Theorematic,9,False
Titularly,Tetrapody,6,False
Timal,Tumping,5,False
Timous,Trashiness,7,False
Theochristic,Totemic,8,False
Tergiversate,Tropology,10,False
Testa,Taxiarch,6,False
Tollmen,Thalamifloral,10,False
Thallous,Trailer,5,False
Tumulus,Tableing,7,False
Tridactyle,Tempestivily,9,False
Tosto,Thermolysis,8,False
Twattle,Troublable,7,False
Telescopic,Truncheoneer,10,False
Towing,Temptation,8,False
Trillium,Tempering,7,False
Tabernacular,Testa,9,False
Tartralic,Thumbkin,7,False
Timothy grass,Tellurite,11,False
Transversal,Topau,9,False
Tonguy,Tohew,4,False
Trough-shell,Tab,11,False
Tracheobranchia,Three-square,13,False
Temporaneous,Teretous,6,False
Tutress,Turf,4,False
Tumid,Tideway,6,False
Trogon,Triumviry,7,False
Trade,Tabernacular,9,False
Tympanize,Thickly,8,False
Triolein,Tribracteate,8,False
Tinctured,Triumphal,8,False
Torpedo,Tinnock,6,False
Trammeler,Torsk,8,False
Totty,Tantalus,6,False
Torridness,Tetraspore,8,False
Try-square,Toupettit,9,False
Thrivingly,Taborine,7,False
Teraphim,Thenadays,6,False
Trachea,Tripedal,5,False
Thomite,Tresayle,6,False
Toddler,Tiredness,6,False
Trackscout,Transcolation,7,False
Text-hand,Tunicary,7,False
Theologian,Tattered,9,False
Tier,Thiotolene,7,False
Toughness,Tergiferous,7,False
Twiner,Tarsometatarsi,11,False
Thorough-lighted,Taurocol,12,False
Thud,Timepiece,8,False
Teraconic,Tersulphuret,9,False
Terror,Transversal,8,False
Tail-bay,Teufit,7,False
Tarpan,Toyingly,7,False
Tegula,Theft,5,False
Throatband,Tranced,6,False
Tough-head,Tetrapharmacom,11,False
Thropple,Tingid,7,False
Taxpayer,Tributaries,8,False
Tarsometatarsi,Thoroughness,11,False
Tritheistic,Tzetze,8,False
Tithonicity,Tranquilliized,11,False
Tourbillion,Testicardines,11,False
Trustee,Truttaceous,6,False
Theophilosophic,Travesty,13,False
Thunderer,Transanimation,12,False
Totipresence,Terminator,11,False
Teenful,Teetering,6,False
Titularies,Treatable,7,False
Tonguefish,Trench-plow,9,False
Tarred,Tornaria,5,False
Traversable,Tallowing,9,False
Toilinette,Theologer,8,False
Throughout,Tailor,8,False
Turcoman,Tracing,6,False
Thereout,Tag,7,False
Togider,Tetrasyllabic,12,False
Thorough,Thiosulphuric,9,False
Tenantless,Titanotherium,8,False
Trackage,Tartarean,6,False
Troublous,Tete,8,False
Tramble,Thiocyanic,9,False
Two-ply,Tapestries,9,False
Thunderer,Tripudiary,8,False
Toyshop,Tracheocele,8,False
Topknot,Tampion,5,False
Tincture,Taintless,6,False
Tetanize,Tricuspid,8,False
Total,Toothlet,4,False
Tickle-footed,Tomnoddy,11,False
Trisyllabic,Tetrathionate,11,False
Tinnitus,Ternate,5,False
Tetrapharmacom,Taboret,11,False
Tappen,Tagging,4,False
Textmen,Theobromic,7,False
Timorous,Trowsed,6,False
Towline,Transliterate,9,False
Townlet,Triglyph,6,False
Targeteer,Thirdly,8,False
Tahaleb,Trewth,6,False
Torrefied,Tarry,6,False
Tibia,Theatricals,8,False
Tasmanian,Took,8,False
Theriaca,Tannery,7,False
Toning,Timoneer,5,False
Travel-tainted,Transelement,8,False
Taxonomist,Thrushel,9,False
Tampeon,Theodolite,8,False
Tailed,Testae,5,False
Thorium,Teache,6,False
Troop,Tendered,7,False
Tyrosin,Temperance,8,False
Totemic,Treated,6,False
Trochiscus,Tinker,8,False
Timal,T cart,4,False
Trichromatism,Trammeled,10,False
Tenuating,Tibio-,7,False
Textuarist,Tectonics,6,False
Tamias,Topcoat,5,False
Truthless,Theocracy,8,False
Thiocarbonic,towering,9,False
Tangence,Teen,5,False
Trimorph,Tetraspore,7,False
Triclinia,Turfless,7,False
Thieve,Touchy,5,False
Thunderfish,Terrifical,9,False
Type,Timid,4,False
Taeniae,Turgescence,8,False
Tickling,Tergeminal,7,False
Tarsalia,Transposed,7,False
Teeny,Teleology,5,False
Trouncing,Trona,5,False
Thruster,Tooted,5,False
Tule,Tessera,5,False
Tricking,Trinerve,5,False
Twinning,Transforate,9,False
Tetanomotor,Turf,10,False
Thymiatechny,Temper,9,False
Tyne,Telpher,5,False
Tubicolae,Toughened,8,False
Tinmen,Theology,7,False
Tracheobranchia,Tautochrone,11,False
Thirsting,Trubtall,7,False
Tutored,Toter,4,False
Tennu,Tetel,3,False
Trunnioned,Trackscout,8,False
Theriotomy,Thruster,6,False
Tardo,Timaline,6,False
Tatterdemalion,Trihedron,9,False
Turfiness,Tetter-totter,11,False
Triturium,Triarchies,6,False
Terebene,Twinner,6,False
Troic,Tetes-de-pont,11,False
Telegraphic,Tharms,9,False
Treaty,Termagancy,6,False
Tychonic,Twirl,7,False
Tanite,Tetrandrous,8,False
Tilde,Taffeta,5,False
Topman,Top-hamper,6,False
Talukdar,Thud,5,False
They,Thaumatrope,9,False
Tranquillizing,Towards,13,False
Tonnish,Thiotolene,8,False
Taffety,Teemed,5,False
Tolerating,Tracheata,8,False
Twelvepenny,Temperamental,9,False
Trichloride,Tryst,9,False
Testator,Trancscendent,11,False
Tansy,Travel,4,False
Timbrelled,Trotter,7,False
Tranship,Tyros,6,False
Tickling,Taut,7,False
Tohew,Tacky,4,False
Tautophonical,Tamper,10,False
Toffee,Transcendentally,13,False
Thrid,Tripper,5,False
Title-page,Try,9,False
Thiocarbonic,Trinervate,9,False
Topsail,Tubicornous,9,False
Tschego,Toon,6,False
Turtle,Trifallowed,8,False
Truceless,Trub,6,False
Trapanned,Turio,8,False
Teutonic,Transfused,9,False
Trollopee,Training,7,False
Tremolo,Totter,6,False
Tolerabolity,Tellurism,9,False
Tendon,Theme,5,False
Typhos,Tungstate,8,False
Terminative,Thunderless,10,False
Township,Teredines,8,False
Thwacking,Throatboll,7,False
Thecophora,Typewrite,9,False
Tulipomania,Thoroughpin,9,False
Thankful,Teazer,6,False
Ter-tenant,Tap,8,False
Tibiotarsal,Triture,7,False
Tired,Torridness,7,False
Tractate,Tholed,7,False
Teazer,Telotrochae,8,False
Triton,Thyrsoidal,7,False
Trade,Tamely,4,False
Tetrodon,Trichroism,7,False
Thruster,Testicle,7,False
Twelvescore,Turmeric,9,False
Transverberate,Temporally,11,False
Thionic,Tolerance,7,False
Turacin,Tolled,6,False
Tribunate,Tirailleur,8,False
Treadfowl,Tumular,8,False
Teretous,Teated,5,False
Taxeopoda,Three,7,False
Tracheitis,Tiffin,8,False
Tellureted,Thowl,9,False
Telestereoscope,Theft,12,False
Timeliness,Tannable,8,False
Tempera,Trisnitrate,8,False
Toadflax,Tendry,6,False
Tinctorial,Tinker,6,False
Test,Trappings,8,False
Tranquilliized,Tainting,10,False
Tough-pitch,Torchwood,8,False
Teat,Tetrapod,5,False
Tintamar,Trajecting,9,False
Theopneusted,Tamely,10,False
Thrummy,Temporal,7,False
Turnus,Tenability,9,False
Tawdriness,Twopence,7,False
Tolerate,Totipalmi,6,False
Tights,Transude,7,False
Tippler,Trapeze,5,False
Teg,Theosopher,8,False
Triumvir,Transcalency,10,False
Traditionist,Tri/cious,7,False
Testacean,Thursday,7,False
Translative,Try-square,7,False
Thorn,Turfen,4,False
Transcendence,Trigintal,10,False
Transept,Twelvemo,6,False
Tungstite,Tasset,6,False
Trickish,Tollable,7,False
Toupee,Topful,4,False
Teaselled,Taborine,7,False
Tetraschistic,Three-coat,10,False
Taille,Twinborn,6,False
Teine,Tomorrow,7,False
Tairn,Trinkle,5,False
Terpsichore,Telegraph,9,False
Tinkler,Tipula,4,False
Tympano,Toght,6,False
Turband,Tolerable,7,False
Tataupa,Truthy,6,False
Tissued,'Twixt,7,False
Toddled,Toyman,5,False
Three-ply,Telegrapher,8,False
Tittle-tattle,Trades-unionist,13,False
Triply,Tricolored,6,False
Thaliacea,Tailed,5,False
tooled,Thwarting,9,False
Taurylic,Tubing,6,False
Tectrices,Trenchantly,8,False
Testicardines,Triply,10,False
Tarentula,Totipresent,9,False
Trivalvular,Tanning,9,False
Transcendentally,Tentering,12,False
Trompe,Twice,4,False
Triune,Tardity,5,False
Tren,Toilette,6,False
Time,Tail-water,7,False
Tier,Taxgatherer,8,False
Transcalent,Thysanuran,8,False
Tributariness,Trepid,10,False
Therewithal,Trigness,9,False
Tab,Temperance,8,False
Thumbless,Tu-whoo,7,False
Thriving,Teaser,7,False
Tying,Trionyx,4,False
Trichomatose,Transparencies,11,False
Turrel,Tetraonid,7,False
Three,Turnspit,6,False
Textured,Threpe,6,False
Trapeziform,Tournament,10,False
Thill,Turnsole,6,False
Telangiectasis,Tranquillization,11,False
Torsi,Tritorium,6,False
Trypsin,Tottling,5,False
Trafficless,Touched,8,False
Tunk,Top-cloth,8,False
Thuggism,Tironian,6,False
Taintless,Tetanoid,8,False
Tactual,Thoral,4,False
Transformation,Typed,13,False
Transcorporate,Twinlike,11,False
Thatched,Tithonicity,8,False
Tonic,Table,4,False
Theobroma,Teleophore,6,False
Theocratical,Tincture,9,False
Tender-hearted,Tubulation,12,False
Ten-strike,Thewy,9,False
Transfusing,Trappous,6,False
Tractator,Throb,7,False
Taxonomy,Three-score,9,False
Tridecane,Tittimouse,8,False
Tumulose,Theta,7,False
Tholing,Thaumaturgical,11,False
Threader,Tetrapody,7,False
Than,Troyounce,7,False
Timeliness,Thwarter,8,False
They,Theorization,9,False
Troubling,Transship,7,False
Telescopy,Trimorphism,10,False
Tillering,Tide,6,False
Thionic,Thewy,5,False
Tungstate,Topmost,7,False
Tydy,Taxidermist,9,False
Trochanter,Tectology,8,False
Thring,Triglyphic,8,False
Tactility,Trout,7,False
Tellural,Tisicky,7,False
Traceable,Tank,7,False
Taxonomist,Thanage,8,False
Tunhoof,Topographist,10,False
Theine,Tied,4,False
Thumb,Twiner,5,False
Tradition,Truckle-bed,9,False
Tunk,Tony,2,False
Thring,Trickle,5,False
Tresor,Tanagroid,7,False
Tartrazine,Tilestone,7,False
Trabeated,Tetrapod,6,False
Temptatious,Traditive,8,False
Tullibee,Troiluses,6,False
Teaching,Trillium,6,False
Timbering,Tipped,6,False
Testudinata,Tinean,8,False
Tetrapterous,Throstle,9,False
Ton,Tongueworm,7,False
Tesserae,Trifoliated,8,False
Tarsometatarsus,Taurocholic,12,False
Transudatory,Toph,10,False
Theologics,Touring,7,False
Tuning,Tetractinellida,12,False
Toyshop,Threadbare,9,False
Timothy,Trichinosis,8,False
Threste,Triangularly,11,False
Timbering,Thermogenic,8,False
Troopial,Theft,7,False
Throatwort,Tetartohedral,10,False
Traveled,Tardo,6,False
Tagged,Truckle,6,False
Transude,Trespass,6,False
Tapestried,Toilsome,7,False
Tutorship,Tattle,7,False
Tyke,Trucidation,10,False
Tarso-,Telegraphy,8,False
Tickled,Thlipsis,7,False
Thermocurrent,Thornbird,9,False
Transcribing,Transcendentally,9,False
Theatin,Taeniada,6,False
Trolley,Teemful,6,False
Tea,Terse,3,False
Titrated,Thiocyanate,7,False
Trender,Trigrammic,8,False
Trench,Turfmen,5,False
Tredille,Timocratic,9,False
Terbium,Theogonist,7,False
Top-draining,Tined,9,False
Tatterdemalion,Triply,11,False
Teint,Telescoping,7,False
Twirl,Tricksy,5,False
Thienyl,Theftbote,7,False
Toffy,Track,4,False
Tent,Tentation,5,False
Thranite,Texture,6,False
Tendron,Tridentiferous,9,False
Taha,Transcalent,8,False
Trisnitrate,Testudines,9,False
Taw,Toddy,4,False
Top-chain,Tabescent,8,False
Trayfuls,Taedium,6,False
Tequila,Trifling,6,False
Tubicole,Trowel,6,False
tried,Tubicornous,10,False
Torteau,Thatching,7,False
Taxonomic,Thralldom,7,False
Taenioidea,Thearchy,8,False
Thicken,Tutorize,7,False
Tristy,Twittle-twattle,12,False
Trivial,Tortilla,5,False
Theomachist,Tiger-footed,10,False
Transforate,Took,9,False
Turband,Taoism,6,False
Telluric,Tumefy,7,False
Thunderfish,Thermopile,8,False
Toftmen,Tongueless,7,False
Thionine,Testacean,8,False
Tomnoddy,Tint,6,False
Tendosynovitis,Trousering,11,False
Trews,Triglyph,6,False
Tetric,Termer,4,False
Try-square,Taste,7,False
Treadwheel,Twinkled,8,False
Translatorship,Typewriting,12,False
Tayra,Tribometer,9,False
Trendle,Tolu,5,False
Translucently,Tickled,10,False
Touchiness,Toadstone,7,False
Traphole,Tunicary,7,False
Tingis,Trimorph,6,False
Testudinata,Tannery,9,False
Trespassed,Toy,9,False
Tabbied,Te-hee,5,False
Tripalmitate,Totteringly,10,False
Tenantable,Temperancy,7,False
Tidings,Theomachist,9,False
Trigraph,Tamper,7,False
Tripersonalist,Tutoress,11,False
Tonsure,Trayfuls,6,False
Tensure,Tretys,6,False
Tortious,Teaselling,9,False
Theophilanthropist,Toledo,14,False
Transplendent,Trabecular,9,False
Thick-headed,Trijugate,8,False
Taeniada,Tyronism,6,False
Them,Tarnishing,8,False
Tyrannicide,Tachometer,9,False
Tessera,Trounce,6,False
Tonical,Tettered,7,False
Tutorage,Thermotension,11,False
Tellurize,Thunderfish,8,False
Theriodontia,Tabific,9,False
Toxifera,Tangly,7,False
Tenebrificous,Tread-softly,11,False
Thialdine,Templed,7,False
Turbinella,fibre,8,False
Tetrasyllabical,Tetrabasic,7,False
Thuriferous,Topsmen,9,False
Trisuls,Tetter-totter,11,False
Tingent,Tolsester,6,False
Trowsers,Tetanin,7,False
Treasured,Transfund,5,False
Tranect,Tralucent,4,False
T'other,Tartan,5,False
Three-leafed,Trebling,8,False
Tableau,Thymy,6,False
Tweezers,Trematoid,7,False
Tagliacotain,Tentacular,8,False
Truster,Torso,5,False
Transfusive,Toftman,9,False
Tacamahac,Tinselled,8,False
Tali,Tripersonality,10,False
Tazel,Trommel,4,False
Testacy,Tracheobranchia,11,False
Tan,Trigenic,6,False
Thermoelectrometer,Troutlet,12,False
Thimblefuls,Tractile,9,False
Timer,Tabulated,7,False
Toxical,Transfuge,8,False
Toothed,Teil,6,False
Tranquil,Talma,6,False
Toxodon,Tenacy,6,False
Thwacking,Tetragynian,8,False
Trudging,Talipes,7,False
Tralucency,Taxing,7,False
Trirhomboidal,Timeful,9,False
Threshold,Tristearate,9,False
Toccata,tooling,6,False
Transcontinental,Trugging-house,13,False
Topau,Toothache,6,False
Truth-teller,Triplicate,9,False
Theanthropic,Touchhole,9,False
Trijugate,Timepiece,7,False
Tallower,Tussock,6,False
Trimellic,Tofus,8,False
Trochosphere,Turbinoid,10,False
Titubation,Threshed,9,False
Taeniolae,Tangfish,6,False
Transportingly,Tallow,11,False
